task id resource start end time type
mDiffFit 134 1536 17359 17834 466 sdbcs 
mDiffFit 702 1536 17006 17451 427 sdbcs 
mDiffFit 818 1536 18424 18743 417 sdbcs 
mDiffFit 875 1536 19336 19639 446 sdbcs 
mDiffFit 441 1536 18144 18846 538 sdbcs 
mDiffFit 746 1536 18246 18538 552 sdbcs 
mDiffFit 482 1536 17629 18227 544 sdbcs 
mDiffFit 231 1536 17982 18363 497 sdbcs 
mDiffFit 860 1536 18999 19665 466 sdbcs 
mDiffFit 743 1536 18618 18871 507 sdbcs 
mDiffFit 745 1536 18167 18488 487 sdbcs 
mDiffFit 783 1536 17971 18216 538 sdbcs 
mDiffFit 223 1536 17462 17835 518 sdbcs 
mDiffFit 730 1536 18325 18807 417 sdbcs 
mDiffFit 205 1536 17352 17702 476 sdbcs 
mDiffFit 242 1536 17908 18707 518 sdbcs 
mDiffFit 687 1536 18061 18353 549 sdbcs 
mDiffFit 421 1536 17551 17872 476 sdbcs 
mDiffFit 736 1536 18404 19301 549 sdbcs 
mDiffFit 431 1536 19716 20079 466 sdbcs 
mDiffFit 717 1536 18237 18622 507 sdbcs 
