task_id,task_count,all_tasks_count,task_type,min_size_in,max_size_in,avg_size_in,count_in,sum_in,min_size_out,max_size_out,avg_size_out,count_out,sum_out,exec_file_size
mProject_51,90,619,0,277,1473865,737071.0,2,1474142,4161600,4161600,4161600.0,2,8323200,5930728
mDiffFit_412,423,619,1,277,4144320,3312055.4,5,16560277,263,263,263.0,1,263,746640
mDiffFit_381,423,619,1,277,4144320,3315511.4,5,16577557,267,267,267.0,1,267,746640
mDiffFit_145,423,619,1,277,4161600,3329335.4,5,16646677,267,267,267.0,1,267,746640
mDiffFit_349,423,619,1,277,4144320,3315511.4,5,16577557,263,263,263.0,1,263,746640
mDiffFit_164,423,619,1,277,4161600,3329335.4,5,16646677,266,266,266.0,1,266,746640
mDiffFit_165,423,619,1,277,4161600,3329335.4,5,16646677,265,265,265.0,1,265,746640
mDiffFit_190,423,619,1,277,4170240,3332791.4,5,16663957,261,261,261.0,1,261,746640
mDiffFit_370,423,619,1,277,4135680,3308599.4,5,16542997,268,268,268.0,1,268,746640
mDiffFit_61,423,619,1,277,4144320,3315511.4,5,16577557,264,264,264.0,1,264,746640
mDiffFit_342,423,619,1,277,4144320,3315511.4,5,16577557,267,267,267.0,1,267,746640
mDiffFit_200,423,619,1,277,4170240,3332791.4,5,16663957,268,268,268.0,1,268,746640
mDiffFit_60,423,619,1,277,4144320,3315511.4,5,16577557,261,261,261.0,1,261,746640
mBackground_53,90,619,4,1706,4161600,2082504.0,4,8330016,4161600,4161600,4161600.0,2,8323200,5793368
mDiffFit_170,423,619,1,277,4161600,3329335.4,5,16646677,260,260,260.0,1,260,746640
mDiffFit_369,423,619,1,277,4144320,3312055.4,5,16560277,259,259,259.0,1,259,746640
mDiffFit_276,423,619,1,277,4161600,3329335.4,5,16646677,264,264,264.0,1,264,746640
mDiffFit_326,423,619,1,277,4144320,3315511.4,5,16577557,284,284,284.0,1,284,746640
mProject_62,90,619,0,277,1467205,733741.0,2,1467482,4144320,4144320,4144320.0,2,8288640,5930728
mDiffFit_359,423,619,1,277,4144320,3312055.4,5,16560277,265,265,265.0,1,265,746640
mDiffFit_304,423,619,1,277,4144320,3312055.4,5,16560277,259,259,259.0,1,259,746640
mBackground_77,90,619,4,1706,4144320,2073864.0,4,8295456,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_70,423,619,1,277,4152960,3318967.4,5,16594837,266,266,266.0,1,266,746640
mDiffFit_71,423,619,1,277,4152960,3318967.4,5,16594837,267,267,267.0,1,267,746640
mDiffFit_324,423,619,1,277,4144320,3312055.4,5,16560277,262,262,262.0,1,262,746640
mDiffFit_245,423,619,1,277,4161600,3329335.4,5,16646677,261,261,261.0,1,261,746640
mBackground_68,90,619,4,1706,4144320,2073864.0,4,8295456,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_84,423,619,1,277,4152960,3318967.4,5,16594837,267,267,267.0,1,267,746640
mDiffFit_58,423,619,1,277,4144320,3315511.4,5,16577557,276,276,276.0,1,276,746640
mDiffFit_313,423,619,1,277,4144320,3315511.4,5,16577557,268,268,268.0,1,268,746640
mDiffFit_88,423,619,1,277,4152960,3318967.4,5,16594837,273,273,273.0,1,273,746640
mDiffFit_360,423,619,1,277,4144320,3315511.4,5,16577557,269,269,269.0,1,269,746640
mDiffFit_356,423,619,1,277,4144320,3312055.4,5,16560277,265,265,265.0,1,265,746640
